Event	ID	Name			Wwise Object Path	Notes
	250868963	Play_FurnitureMove			\Default Work Unit\Play_FurnitureMove	
	415713954	Play_Item_Down			\Default Work Unit\Play_Item_Down	
	529815043	Play_MenuDown			\Default Work Unit\Play_MenuDown	
	1113566242	Play_MenuBack			\Default Work Unit\Play_MenuBack	
	1403551666	Play_Item_In_Heartagram			\Default Work Unit\Play_Item_In_Heartagram	
	1779266091	Play_Round_Start			\Default Work Unit\Play_Round_Start	
	1888148468	Play_Kisses			\Default Work Unit\Play_Kisses	
	2556250589	Stop_FurnitureMove			\Default Work Unit\Stop_FurnitureMove	
	2690797150	Play_cat			\Default Work Unit\Play_cat	
	2801657304	Play_Round_Start_Go			\Default Work Unit\Play_Round_Start_Go	
	2878774629	Play_Menu_Up			\Default Work Unit\Play_Menu_Up	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3100142473	Play_MenuConfirm			\Default Work Unit\Play_MenuConfirm	
	3679533029	Play_PlayerJoin			\Default Work Unit\Play_PlayerJoin	
	4227397407	Play_Item_Pick_Up			\Default Work Unit\Play_Item_Pick_Up	

Switch Group	ID	Name			Wwise Object Path	Notes
	1445037870	MusicSwitch			\Default Work Unit\MusicSwitch	

Switch	ID	Name	Switch Group			Notes
	312312627	HumanWinMusic	MusicSwitch			
	679636833	MenuMusic	MusicSwitch			
	2275179450	GameplayMusic	MusicSwitch			
	3628969981	GhostWinMusic	MusicSwitch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	31833784	MenuDown	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\MenuDown_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\MenuDown		15250
	64905090	Kiss8	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss8_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss8		34864
	123639115	Kissy Ghost Main Title	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kissy Ghost Main Title_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Kissy Ghost Main Title		20689204
	200364935	cat	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\cat_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\cat		211744
	260240409	Dating - Ghost	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Dating - Ghost_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Dating - Ghost		10304424
	274188847	Kiss10	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss10_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss10		42098
	282227202	Round Start Go	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Round Start GO_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Round Start\Round Start Go		175296
	287426362	Kiss13	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss13_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss13		40644
	301295001	Item Down	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\ItemDown2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\Item Down		90508
	323274989	MenuBack	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\MenuBack2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\MenuBack		17660
